#,Product Name,Accounting,DNOB,Use By,Derived From,Cut/Primal,Yield %,Category,Marble,Weight (G),Unit of Measure,SalesUnitPrice
,WAGYU (OF) CHUCK TRIMMINGS,5485,,,,Primal,,Olive Fed,,1000,Per KG,7
,WAGYU (O/F) CHUCK TAIL FLAP,5609,,,,Primal,,Olive Fed,,1000,Per KG,17.5
,WAGYU BEEF (O/F) BONE MARROW V/P,5617,,,,Primal,,Olive Fed,,1000,Per KG,1.25
,WAGYU (O/F) BUTT TENDER,5622,,,,Primal,,Olive Fed,,1000,Per KG,40
,WAGYU BEEF O/F SHORTLOIN,5623,,,,Primal,,Olive Fed,,1000,Per KG,20.5
,WAYGU BEEF O/F INTERCOSTALS,5626,,,,Primal,,Olive Fed,,1000,Per KG,8.5
,WAGYU O/F WHOLE NECK,5643,,,,Primal,,Olive Fed,,1000,Per KG,6
,WAGYU O/F BONELESS SHORT RIB,5647,,,,Primal,,Olive Fed,,1000,Per KG,21
,WAGYU BEEF O/F ROASTING RIB,5665,,,,Primal,,Olive Fed,,1000,Per KG,17.5
,WAGYU O/F BONELESS CHUCK SHORT RIB,5667,,,,Primal,,Olive Fed,,1000,Per KG,21
,WAGYU BEEF (O/F) WHOLE BONE MARROW V/P,5687,,,,Primal,,Olive Fed,,1000,Per KG,1.25
,WAGYU BEEF COD FAT V.P OLIVE FED,7630,,,,Primal,,Olive Fed,,1000,Per KG,1.3
,WAGYU TONGUE,5319,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHEEK,2661,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU HANGING TENDER ,5141,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU OUTSIDE SKIRT (THIN),5597,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK ROLL,2601,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU SUBSCAPULARIS,5671,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU SHORT RIBS,2602,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK SHORT RIBS,5315,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CLOD SHOULDER,5654,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU NECK,5204,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU BRISKET,7600,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU LMC,5242,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU OYSTER BLADE,5616,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU FORE FILLET/TERES MAJOR,5289,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK TENDER,3950,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU BAVETTE,2611,,,,Primal,,Warrendale,,1000,Per KG,
